tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
1,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430
2,1,20,320,14,160.0,1.0,0630-1430,x,0630-1430,0630-1430,0630-1430,0630-1430,x,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430,0630-1430,0630-1430,x,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430
3,3,16,320,14,160.0,1.0,x,0630-1630,x,x,0630-1630,0630-1630,0630-1630,x,0630-1630,0630-1630,x,0630-1630,0630-1630,x,x,0630-1630,x,x,0630-1630,0630-1630,0630-1630,x,0630-1630,0630-1630,x,0630-1630,0630-1630,x
4,3,16,320,14,160.0,1.0,x,0630-1630,0630-1630,x,0630-1630,0630-1630,x,x,0630-1630,x,x,0630-1630,0630-1630,0630-1630,x,0630-1630,0630-1630,x,0630-1630,0630-1630,x,x,0630-1630,x,x,0630-1630,0630-1630,0630-1630
5,1,20,320,15,160.0,1.0,x,0700-1500,0700-1500,0700-1500,x,0700-1500,0700-1500,x,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,x,x,0700-1500,0700-1500,0700-1500,x,0700-1500,0700-1500,x,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,x
6,1,20,320,15,160.0,1.0,x,0700-1500,0700-1500,0700-1500,x,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,x,0700-1500,x,x,0700-1500,0700-1500,0700-1500,x,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,x,0700-1500,0700-1500,x
7,3,16,320,16,160.0,1.0,x,0730-1730,0730-1730,x,0730-1730,x,0730-1730,x,0730-1730,0730-1730,0730-1730,0730-1730,x,x,x,0730-1730,0730-1730,0730-1730,0730-1730,x,x,x,0730-1730,0730-1730,0730-1730,0730-1730,x,x
8,3,16,320,16,160.0,1.0,x,0730-1730,0730-1730,0730-1730,0730-1730,x,x,0730-1730,0730-1730,0730-1730,x,0730-1730,x,x,x,0730-1730,0730-1730,x,0730-1730,x,0730-1730,0730-1730,0730-1730,0730-1730,x,0730-1730,x,x
9,1,20,320,17,160.0,1.0,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,x,x,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,x,x,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600
10,1,20,320,17,160.0,1.0,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600,x
11,1,20,320,17,160.0,1.0,x,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,x,x,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600,x
12,1,20,320,18,160.0,1.0,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x
13,1,20,320,18,160.0,1.0,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,x,x,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630
14,3,16,320,18,160.0,1.0,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,x,0830-1830,x,0830-1830,0830-1830,0830-1830,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,x,0830-1830,0830-1830,0830-1830,x,0830-1830
15,3,16,320,18,160.0,1.0,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,0830-1830,x,0830-1830,0830-1830,0830-1830,x,x,x,x,0830-1830,x,0830-1830,0830-1830,0830-1830,x,0830-1830,0830-1830,x,0830-1830,0830-1830,x
16,3,16,320,18,160.0,1.0,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,0830-1830,0830-1830,0830-1830,x,0830-1830
17,3,16,320,18,160.0,1.0,x,x,0830-1830,0830-1830,0830-1830,x,0830-1830,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x
18,3,16,320,18,160.0,1.0,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,0830-1830,0830-1830,0830-1830,x,0830-1830,x,0830-1830,0830-1830,0830-1830,0830-1830,x,x,x,x,0830-1830,0830-1830,0830-1830,0830-1830,x
19,1,20,320,20,160.0,1.0,0930-1730,0930-1730,0930-1730,x,0930-1730,0930-1730,x,x,0930-1730,0930-1730,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,0930-1730,0930-1730,x,x,0930-1730,0930-1730,x,0930-1730,0930-1730,0930-1730
20,3,16,320,20,160.0,1.0,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x,x,0930-1930,x,0930-1930,0930-1930,0930-1930,x,x,0930-1930,0930-1930,0930-1930,0930-1930,x,x,x,0930-1930,0930-1930,0930-1930,0930-1930,x,x
21,3,16,320,20,160.0,1.0,x,0930-1930,0930-1930,0930-1930,0930-1930,x,x,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x
22,3,16,320,20,160.0,1.0,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x,x,0930-1930,0930-1930,0930-1930,0930-1930,x,x,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x,x,0930-1930,0930-1930,0930-1930,x,0930-1930,x
23,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x
24,1,20,320,21,160.0,1.0,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800
25,3,16,320,21,160.0,1.0,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x,x,1000-2000,1000-2000,1000-2000,x,1000-2000,x,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x
26,3,16,320,21,160.0,1.0,x,1000-2000,x,1000-2000,1000-2000,1000-2000,x,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x,x,1000-2000,1000-2000,1000-2000,x,1000-2000,x,x,1000-2000,1000-2000,1000-2000,x,1000-2000,x
27,3,16,320,21,160.0,1.0,x,1000-2000,1000-2000,1000-2000,x,1000-2000,x,x,1000-2000,1000-2000,1000-2000,x,1000-2000,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x,x,x,1000-2000,1000-2000,1000-2000,1000-2000,x,x
28,3,16,320,22,160.0,1.0,x,x,1030-2030,1030-2030,1030-2030,1030-2030,x,x,x,1030-2030,1030-2030,1030-2030,x,1030-2030,x,x,1030-2030,1030-2030,1030-2030,1030-2030,x,x,x,1030-2030,1030-2030,1030-2030,x,1030-2030
29,3,16,320,23,160.0,1.0,x,x,1100-2100,1100-2100,1100-2100,x,1100-2100,1100-2100,x,1100-2100,1100-2100,x,1100-2100,x,x,x,1100-2100,1100-2100,1100-2100,x,1100-2100,1100-2100,x,1100-2100,1100-2100,x,1100-2100,x
30,3,16,320,23,160.0,1.0,x,x,1100-2100,1100-2100,x,1100-2100,1100-2100,x,x,1100-2100,1100-2100,1100-2100,1100-2100,x,x,x,1100-2100,1100-2100,x,1100-2100,1100-2100,x,x,1100-2100,1100-2100,1100-2100,1100-2100,x
31,3,16,320,24,160.0,1.0,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x
32,3,16,320,24,160.0,1.0,x,1130-2130,x,1130-2130,1130-2130,x,1130-2130,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x,x,x,x,1130-2130,1130-2130,1130-2130,1130-2130,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x
33,3,16,320,27,160.0,1.0,x,1300-2300,x,1300-2300,1300-2300,x,1300-2300,x,1300-2300,1300-2300,1300-2300,1300-2300,x,x,x,1300-2300,x,1300-2300,1300-2300,x,1300-2300,x,1300-2300,1300-2300,1300-2300,1300-2300,x,x
34,3,16,320,27,160.0,1.0,x,1300-2300,1300-2300,1300-2300,1300-2300,x,x,x,1300-2300,x,1300-2300,1300-2300,x,1300-2300,x,1300-2300,1300-2300,1300-2300,1300-2300,x,x,x,1300-2300,x,1300-2300,1300-2300,x,1300-2300
